COUNTY,TOWERCOUNT
 ,2
ABBEVILLE,12
ACADIA,10
ACCOMACK,10
ADA,26
ADAIR,25
ADAMS,66
ADDISON,4
AIKEN,7
AITKIN,8
ALACHUA,13
ALAMANCE,4
ALAMOSA,2
ALBANY,10
ALBEMARLE,1
ALCONA,15
ALCORN,3
ALEXANDER,17
ALFALFA,3
ALGER,9
ALLAMAKEE,4
ALLEGAN,21
ALLEGANY,11
ALLEGHANY,1
ALLEGHENY,4
ALLEN,53
ALLENDALE,4
ALPENA,6
ALPINE,2
AMADOR,2
AMELIA,3
AMITE,4
ANCHORAGE,8
ANDERSON,44
ANDREW,5
ANDREWS,13
ANDROSCOGGIN,2
ANGELINA,12
ANNE ARUNDEL,9
ANOKA,14
ANSON,7
ANTELOPE,2
ANTRIM,8
APACHE,4
APPANOOSE,2
APPLING,2
APPOMATTOX,1
ARANSAS,7
ARAPAHOE,14
ARCHER,3
ARCHULETA,2
ARENAC,6
ARKANSAS,15
ARMSTRONG,14
AROOSTOOK,8
ARTHUR,1
ASCENSION,5
ASHLAND,14
ASHLEY,7
ASHTABULA,22
ASSUMPTION,9
ATASCOSA,18
ATCHISON,11
ATHENS,4
ATKINSON,3
ATLANTIC,11
ATOKA,3
ATTALA,5
AUDRAIN,4
AUDUBON,1
AUGLAIZE,8
AUGUSTA,23
AURORA,1
AUSTIN,10
AUTAUGA,3
AVERY,2
AVOYELLES,13
BACA,3
BACON,1
BAILEY,2
BAKER,12
BALDWIN,16
BALLARD,5
BALTIMORE,2
BAMBERG,5
BANDERA,8
BANKS,2
BANNER,1
BANNOCK,8
BARAGA,4
BARBER,5
BARBOUR,7
BARNES,8
BARNSTABLE,26
BARNWELL,9
BARREN,33
BARRON,8
BARROW,9
BARRY,10
BARTHOLOMEW,6
BARTON,10
BARTOW,6
BASTROP,6
BATES,7
BATH,2
BAXTER,4
BAY,19
BAYFIELD,13
BAYLOR,1
BEADLE,10
BEAR LAKE,3
BEAUFORT,9
BEAUREGARD,23
BEAVER,21
BEAVERHEAD,9
BECKER,10
BECKHAM,8
BEDFORD,11
BEE,15
BELL,24
BELMONT,10
BELTRAMI,14
BENEWAH,4
BENNETT,3
BENNINGTON,4
BENSON,9
BENT,4
BENTON,63
BENZIE,2
BERKELEY,10
BERKS,14
BERKSHIRE,25
BERNALILLO,11
BERRIEN,28
BEXAR,28
BIBB,6
BIENVILLE,2
BIG HORN,17
BIG STONE,5
BILLINGS,2
BINGHAM,5
BLACKFORD,1
BLADEN,1
BLAINE,20
BLAIR,10
BLANCO,8
BLAND,3
BLECKLEY,3
BLEDSOE,2
BLOUNT,8
BLUE EARTH,6
BOISE,6
BOLIVAR,6
BOLLINGER,1
BON HOMME,6
BOND,2
BONNER,16
BONNEVILLE,8
BOONE,37
BORDEN,4
BOSQUE,12
BOSSIER,7
BOTETOURT,2
BOTTINEAU,9
BOULDER,2
BOUNDARY,2
BOURBON,6
BOWIE,9
BOWMAN,5
BOX BUTTE,4
BOX ELDER,8
BOYD,1
BOYLE,2
BRACKEN,3
BRADFORD,11
BRADLEY,10
BRANCH,7
BRANTLEY,2
BRAXTON,4
BRAZORIA,23
BRAZOS,20
BRECKINRIDGE,18
BREMER,1
BREVARD,34
BREWSTER,7
BRISCOE,6
BRISTOL,28
BROADWATER,6
BROOKE,3
BROOKINGS,10
BROOKS,3
BROOME,10
BROWARD,8
BROWN,39
BRULE,3
BRUNSWICK,9
BRYAN,7
BUCHANAN,7
BUCKINGHAM,1
BUCKS,7
BUENA VISTA,1
BUFFALO,10
BULLITT,7
BULLOCH,9
BULLOCK,1
BUNCOMBE,1
BUREAU,4
BURKE,17
BURLEIGH,14
BURLESON,11
BURLINGTON,8
BURNET,12
BURNETT,8
BUTLER,83
BUTTE,16
BUTTS,2
CABARRUS,3
CABELL,7
CACHE,2
CADDO,23
CALCASIEU,22
CALDWELL,21
CALEDONIA,2
CALHOUN,77
CALLAHAN,9
CALLAWAY,12
CALLOWAY,5
CALUMET,1
CALVERT,4
CAMAS,2
CAMBRIA,18
CAMDEN,15
CAMERON,47
CAMP,2
CAMPBELL,30
CANADIAN,7
CANDLER,3
CANNON,2
CANYON,8
CAPE GIRARDEAU,6
CAPE MAY,5
CARBON,22
CARIBOU,3
CARLISLE,1
CARLTON,10
CAROLINE,17
CARROLL,62
CARSON,5
CARTER,16
CARTERET,2
CARVER,6
CASCADE,8
CASEY,3
CASS,82
CASSIA,6
CASTRO,3
CASWELL,1
CATAHOULA,2
CATAWBA,7
CATOOSA,1
CATRON,1
CATTARAUGUS,10
CAVALIER,10
CAYUGA,10
CECIL,10
CEDAR,8
CENTRE,14
CERRO GORDO,1
CHAFFEE,11
CHAMBERS,17
CHAMPAIGN,27
CHARLES,4
CHARLES CITY,2
CHARLES MIX,4
CHARLESTON,10
CHARLEVOIX,8
CHARLOTTE,15
CHARLTON,8
CHASE,2
CHATHAM,8
CHATTOOGA,5
