STATE,COUNTY,COUNTYFIPS,NRI_ID,POPULATION,AREA,RISK_RATNG,TOWERCOUNT,POP_DENS,TOWER_DENS
Alabama,AUTAUGA,1,C01001,58764,610.47050844,2.0,3,96.26017831748479,0.491424230740682
Alabama,BALDWIN,3,C01003,231365,2047.73877477,4.0,16,112.9856028760244,0.7813496622291144
Georgia,BALDWIN,9,C13009,43775,270.98418633,1.0,16,161.5407917076443,5.904403580405046
Alabama,BARBOUR,5,C01005,25160,913.64651118,2.0,7,27.538002599610607,0.7661606446632522
West Virginia,BARBOUR,1,C54001,15458,346.31140518,1.0,7,44.63612739512722,2.0213021850555735
Alabama,BIBB,7,C01007,22239,632.4867978000001,1.0,6,35.161208229728516,0.9486364017193718
Georgia,BIBB,21,C13021,157280,257.4792909,2.0,6,610.8452429328947,2.330284497455092
Alabama,BLOUNT,9,C01009,58992,657.1965546900001,2.0,8,89.76309991129907,1.2172918349782895
Tennessee,BLOUNT,9,C47009,135033,572.32323681,2.0,8,235.93834972111796,1.3978114962779051
Alabama,BULLOCK,11,C01011,10326,631.45451226,1.0,1,16.3527218501343,0.15836453467106626
Alabama,BUTLER,13,C01013,19015,785.73446055,2.0,83,24.200287698581835,10.563365127437773
Iowa,BUTLER,23,C19023,14334,587.63086668,1.0,83,24.39286431801023,14.124513313763423
Kansas,BUTLER,15,C20015,67340,1461.13039878,2.0,83,46.08760453976379,5.680533378081964
Kentucky,BUTLER,31,C21031,12364,435.83086248,1.0,83,28.368803277595735,19.04408502135592
Missouri,BUTLER,23,C29023,42051,706.13485956,3.0,83,59.550947571406425,11.75412867334126
Nebraska,BUTLER,23,C31023,8354,596.7756619500001,1.0,83,13.998560150229329,13.908073886390163
Ohio,BUTLER,17,C39017,390244,474.81198687000006,3.0,83,821.8916345657589,17.48060333251965
Pennsylvania,BUTLER,19,C42019,193593,803.69434665,2.0,83,240.8788873617741,10.32730917493259
Alabama,CALHOUN,15,C01015,116250,618.45514341,3.0,77,187.96836155170104,12.450377496327725
Arkansas,CALHOUN,13,C05013,4734,638.8017608700001,1.0,77,7.4107497661757336,12.05381774388533
Florida,CALHOUN,13,C12013,13597,580.11135858,2.0,77,23.438603293827615,13.273313625246205
Georgia,CALHOUN,37,C13037,5573,286.44055908,1.0,77,19.456043578114635,26.881667961866622
Illinois,CALHOUN,13,C17013,4437,286.44196854,1.0,77,15.490048551947435,26.881535688527215
Iowa,CALHOUN,25,C19025,9927,577.8896779500001,2.0,77,17.178019228886278,13.324342506540177
Michigan,CALHOUN,25,C26025,134279,725.58211596,2.0,77,185.06382261412097,10.612168947703896
Mississippi,CALHOUN,13,C28013,13242,593.8953852000001,1.0,77,22.296856197225082,12.965246391680497
South Carolina,CALHOUN,17,C45017,14114,396.44674056,1.0,77,35.601251204798146,19.42253324903966
Texas,CALHOUN,57,C48057,20057,1043.09079225,3.0,77,19.22843164662208,7.381907746870919
West Virginia,CALHOUN,13,C54013,6220,283.51322064000004,1.0,77,21.93901217713598,27.15922729323907
Alabama,CHAMBERS,17,C01017,34738,609.20234739,1.0,17,57.022104640318105,2.7905342244383893
Texas,CHAMBERS,71,C48071,46507,879.94205598,3.0,17,52.85234372416114,1.9319453916845621
Alabama,CHEROKEE,19,C01019,24933,606.03334623,1.0,36,41.14130048305543,5.940267185617437
Georgia,CHEROKEE,57,C13057,266412,438.75977769,2.0,36,607.1933061016133,8.204945355185984
Iowa,CHEROKEE,35,C19035,11649,582.8956773900001,1.0,36,19.984708159374396,6.176062269186009
Kansas,CHEROKEE,21,C20021,19341,596.98957227,2.0,36,32.39755080889865,6.030256083554891
North Carolina,CHEROKEE,39,C37039,28732,471.37704822,1.0,36,60.95332835677283,7.6371983184039465
Oklahoma,CHEROKEE,21,C40021,47015,783.85717176,2.0,36,59.97903915892852,4.592673422782998
South Carolina,CHEROKEE,21,C45021,56186,401.4903828,2.0,36,139.94357625245712,8.966590867989279
Texas,CHEROKEE,73,C48073,50317,1072.89574353,2.0,36,46.8983126304975,3.3554052401731225
Alabama,CHILTON,21,C01021,44999,707.86207089,2.0,7,63.57029405943793,0.9888932163293973
Alabama,CHOCTAW,23,C01023,12632,930.15561678,2.0,5,13.580523271718,0.5375444613567923
Mississippi,CHOCTAW,19,C28019,8245,424.0939638,1.0,5,19.441446244889942,1.178984005147965
Oklahoma,CHOCTAW,23,C40023,14133,807.59546088,2.0,5,17.50009835939384,0.6191218552109898
Alabama,CLARKE,25,C01025,23038,1265.21927025,2.0,17,18.208701481007182,1.343640616273644
Georgia,CLARKE,59,C13059,128510,122.2545636,2.0,17,1051.1673038273395,13.905411380487722
Iowa,CLARKE,39,C19039,9747,436.0583565,1.0,17,22.352512810977398,3.8985607652263856
Mississippi,CLARKE,23,C28023,15570,700.53631635,2.0,17,22.225828464003513,2.4267121636998055
Virginia,CLARKE,43,C51043,14780,179.92835718,1.0,17,82.14380563267254,9.448204978047585
Alabama,CLAY,27,C01027,14212,612.11944638,1.0,75,23.217690736747606,12.252510591444347
Arkansas,CLAY,21,C05021,14532,647.82105843,2.0,75,22.432120430321344,11.577271072626623
Florida,CLAY,19,C12019,218078,650.04055896,3.0,75,335.4836817396487,11.53774160184597
Georgia,CLAY,61,C13061,2848,219.42993462,1.0,75,12.979086034601671,34.17947516134569
Illinois,CLAY,25,C17025,13270,474.27413982,1.0,75,27.97959847660327,15.81363892799733
Indiana,CLAY,21,C18021,26463,363.95892117,1.0,75,72.70875491918362,20.60672115383279
Iowa,CLAY,41,C19041,16377,578.3723840700001,2.0,75,28.315667295100145,12.967424113894552
Kansas,CLAY,27,C20027,8117,662.2264720500001,1.0,75,12.257136104621233,11.325430674468306
Kentucky,CLAY,51,C21051,20339,475.88780733,1.0,75,42.73906514670612,15.760017139500265
Minnesota,CLAY,27,C27027,65291,1063.25562993,2.0,75,61.406681669109496,7.053806995119102
Mississippi,CLAY,25,C28025,18616,420.20905485,1.0,75,44.301758339418136,17.84825889265342
Missouri,CLAY,47,C29047,252904,412.79551521,3.0,75,612.6616949104716,18.168802042785156
Nebraska,CLAY,35,C31035,6099,579.32852757,2.0,75,10.527705282497177,12.94602223622378
North Carolina,CLAY,43,C37043,11079,223.01068062,1.0,75,49.679234955020426,33.6306762489984
South Dakota,CLAY,27,C46027,14967,421.63303845,2.0,75,35.497692626321275,17.787979868872156
Tennessee,CLAY,27,C47027,7571,261.96201798000004,1.0,75,28.9011363493849,28.6301046916374
Texas,CLAY,77,C48077,10200,1128.02770002,1.0,75,9.042331141176012,6.648772897923538
West Virginia,CLAY,15,C54015,8050,347.28708495,1.0,75,23.179669929732583,21.595965773042778
Alabama,CLEBURNE,29,C01029,15040,566.6772813,1.0,12,26.540679318389326,2.1176073924246803
Arkansas,CLEBURNE,23,C05023,24667,598.1168934000001,2.0,12,41.241102319949945,2.0062967845275037
Alabama,COFFEE,31,C01031,53391,687.36451563,3.0,9,77.67494362298406,1.309348940096377
